university;year;rank_display;score;country;city;region;type;research_output;student_faculty_ratio;international_students;size;faculty_count
Texas A&M University;2017;160;52.6;United States;Galveston;North America;Public;Very High;21.0;6,621;XL;3,049
Michigan State University;2017;160;52.6;United States;East Lansing;North America;Public;Very High;15.0;5,795;XL;3,008
Albert-Ludwigs-Universitaet Freiburg;2017;163;52.2;Germany;Freiburg im Breisgau;Europe;Public;Very High;11.0;3,883;L;1,993
Technische Universität Berlin (TU Berlin);2017;164;52.1;Germany;Berlin;Europe;Public;Very High;10.0;6,464;L;2,331
The University of Exeter;2017;164;52.1;United Kingdom;Exeter;Europe;Public;Very High;10.0;7,188;L;2,393
CentraleSupélec;2017;164;52.3;France;Saint-Aubin;Europe;Public;Very High;10.0;1,068;S;552
Eberhard Karls Universität Tübingen;2017;167;51.9;Germany;Tübingen;Europe;Public;Very High;5.0;2,872;L;4,517
Newcastle University;2017;168;51.8;United Kingdom;Newcastle upon Tyne;Europe;Public;Very High;10.0;8,100;L;2,766
University of Otago;2017;169;51.3;New Zealand;Dunedin;Oceania;Public;Very High;14.0;3,585;L;1,333
University of Colorado Boulder;2017;170;51.2;United States;Boulder;North America;Public;Very High;11.0;2,441;XL;2,946
Hanyang University;2017;171;50.6;South Korea;Seoul;Asia;Private;Very High;7.0;3,455;L;3,164
University of Virginia;2017;172;50.5;United States;Charlottesville;North America;Public;Very High;8.0;2,201;L;2,731
Maastricht University ;2017;173;50.3;Netherlands;Maastricht;Europe;Public;Very High;13.0;10,425;L;1,418
National Chiao Tung University;2017;174;38.2;Taiwan;Hsinchu City;Asia;Public;Very High;10.0;1,420;M;1,152
University of Reading;2017;175;50.0;United Kingdom;Reading;Europe;Public;Very High;12.0;5,007;L;1,325
University College Dublin;2017;176;49.7;Ireland;Dublin;Europe;Public;Very High;12.0;6,118;L;1,836
University of Göttingen;2017;177;49.6;Germany;Göttingen;Europe;Public;Very High;8.0;3,875;XL;3,717
École Normale Supérieure de Lyon;2017;177;49.6;France;Lyon;Europe;Public;Very High;5.0;233;S;387
University of Bergen;2017;177;49.6;Norway;Bergen;Europe;Public;Very High;7.0;832;M;1,634
University of Twente;2017;177;49.6;Netherlands;Enschede;Europe;Public;Very High;10.0;3,872;L;1,177
University of Bern;2017;181;49.3;Switzerland;Bern;Europe;Public;Very High;8.0;1,776;M;1,212
Vrije Universiteit Brussel (VUB);2017;182;48.9;Belgium;Brussels;Europe;Public;Very High;7.0;2,994;L;1,815
Politecnico di Milano;2017;183;48.8;Italy;Milan;Europe;Public;Very High;21.0;7,452;XL;1,659
Technische Universität Wien;2017;183;48.8;Austria;Vienna;Europe;Public;Very High;11.0;2,515;M;761
University of Florida;2017;185;48.6;United States;Gainesville;North America;Public;Very High;7.0;4,143;XL;6,222
University of Rochester;2017;185;48.6;United States;Rochester;North America;Private;Very High;5.0;3,644;M;1,853
Indian Institute of Technology Delhi (IITD);2017;185;48.6;India;New Delhi;Asia;Public;Very High;11.0;100;M;843
University of Illinois at Chicago (UIC);2017;187;48.4;United States;Chicago;North America;Public;Very High;10.0;3,425;L;2,808
University of Sussex;2017;187;48.4;United Kingdom;Brighton;Europe;Public;Very High;14.0;6,350;L;1,320
King Fahd University of Petroleum & Minerals;2017;189;48.3;Saudi Arabia;Dhahran;Asia;Public;Very High;7.0;782;M;1,103
Radboud University ;2017;190;48.2;Netherlands;Nijmegen;Europe;Public;Very High;11.0;2,781;L;2,074
Universidade Estadual de Campinas (Unicamp);2017;191;48.0;Brazil;Campinas;Latin America;Public;Very High;15.0;944;L;1,875
University of Cape Town;2017;191;48.0;South Africa;Cape Town;Africa;Public;Very High;14.0;3,204;L;1,503
University of Technology Sydney;2017;193;47.8;Australia;Haymarket;Oceania;Public;Very High;16.0;8,653;L;2,183
Queen's University Belfast;2017;195;47.5;United Kingdom;Stony Brook;Europe;Public;Very High;10.0;7,397;L;1,951
Stockholm University;2017;196;47.2;Sweden;Stockholm;Europe;Public;Very High;12.0;7,567;L;2,325
University of Calgary;2017;196;47.2;Canada;Calgary;North America;Public;Very High;12.0;6,791;XL;2,668
Western University;2017;198;47.1;Canada;London;North America;Public;Very High;22.0;6,314;L;1,311
Vrije Universiteit Amsterdam;2017;199;46.8;Netherlands;Amsterdam;Europe;Public;Very High;10.0;4,059;L;2,598
Universidad de Chile;2017;200;46.7;Chile;Santiago;Latin America;Public;Very High;15.0;1,697;XL;2,412
Waseda University;2017;201;46.5;Japan;Tokyo;Asia;Private;Very High;11.0;7,209;XL;3,833
Case Western Reserve University;2017;202;46.4;United States;Cleveland;North America;Private;Very High;7.0;2,864;M;1,639
Universitat Autònoma de Barcelona;2017;203;46.3;Spain;Barcelona;Europe;Public;Very High;15.0;4,069;XL;2,132
Vanderbilt University;2017;203;46.3;United States;Nashville;North America;Private;Very High;3.0;2,022;L;4,473
University of Notre Dame;2017;203;46.3;United States;Notre Dame;North America;Private;Very High;8.0;1,484;L;1,545
Université Grenoble Alpes;2017;206;46.1;France;Grenoble;Europe;Public;Very High;17.0;8,880;XL;3,088
Tecnológico de Monterrey;2017;206;46.1;Mexico;Monterrey;Latin America;Private;High;8.0;3,514;XL;5,894
Alma Mater Studiorum - University of Bologna;2017;208;46.0;Italy;Bologna;Europe;Public;Very High;24.0;5,536;XL;2,885
University of Antwerp;2017;209;45.8;Belgium;Antwerp;Europe;Public;Very High;9.0;2,688;L;1,704
Universidad Autónoma de Madrid;2017;210;45.7;Spain;Madrid;Europe;Public;Very High;10.0;2,470;L;2,869
Technische Universität Dresden;2017;210;45.7;Germany;Dresden;Europe;Public;Very High;7.0;5,167;XL;4,636
Tel Aviv University;2017;212;45.6;Israel;Tel Aviv;Asia;Public;Very High;22.0;1,294;L;1,048
Technion - Israel Institute of Technology;2017;213;45.5;Israel;Haifa;Asia;Public;Very High;8.0;526;L;1.616
University of Canterbury;2017;214;40.0;New Zealand;Christchurch;Oceania;Public;Very High;17.0;2,816;L;0
Georgetown University;2017;214;45.4;United States;Washington D.C.;North America;Private;Very High;8.0;3,286;L;2,009
Keio University;2017;216;45.1;Japan;Tokyo;Asia;Private;Very High;8.0;3,101;XL;4,028
Universite libre de Bruxelles;2017;216;45.1;Belgium;Brussels;Europe;Public;Very High;23.0;8,073;L;1,101
University of Wollongong;2017;218;44.7;Australia;Wollongong;Oceania;Public;Very High;13.0;4,779;L;1,410
Indian Institute of Technology Bombay (IITB);2017;219;44.6;India;Mumbai;Asia;Public;Very High;11.0;116;M;1,015
Sciences Po ;2017;220;38.1;France;Paris;Europe;Public;Very High;6.0;4,841;M;1,808
Université Paris-Sorbonne (Paris IV);2017;221;37.9;France;Paris;Europe;Public;Very High;9.0;8,782;XL;4,680
Arizona State University;2017;222;44.2;United States;Phoenix;North America;Public;Very High;17.0;8,430;XL;2,869
Sapienza University of Rome;2017;223;44.0;Italy;Rome;Europe;Public;Very High;23.0;5,960;XL;3,287
Queen's University at Kingston;2017;223;44.0;Canada;Kingston;North America;Public;Very High;19.0;3,858;L;1,287
University of Tsukuba;2017;225;43.8;Japan;Tsukuba City;Asia;Public;Very High;8.0;2,358;L;2,073
Simon Fraser University;2017;226;43.6;Canada;Burnaby;North America;Public;Very High;21.0;8,051;L;1,193
King Saud University;2017;227;43.4;Saudi Arabia;Riyadh;Asia;Public;Very High;9.0;3,896;XL;4,216
Université Paris 1 Panthéon-Sorbonne;2017;228;43.3;France;Paris;Europe;Public;Very High;21.0;7,257;XL;1,679
Victoria University of Wellington;2017;228;43.3;New Zealand;Kelburn, Wellington;Oceania;Public;Very High;16.0;3,668;L;1,124
American University of Beirut (AUB);2017;228;43.3;Lebanon;Beirut ;Asia;Private;Very High;8.0;1,724;M;964
Rheinische Friedrich-Wilhelms-Universität Bonn;2017;231;43.0;Germany;Bonn;Europe;Public;Very High;5.0;3,276;L;4,207
Universität Hamburg;2017;232;42.9;Germany;Hamburg;Europe;Public;Very High;14.0;3,626;L;2,032
The University of Arizona;2017;233;42.8;United States;Tucson;North America;Public;Very High;6.0;3,526;XL;5,724
University of Turku;2017;234;42.7;Finland;Turku;Europe;Public;Very High;8.0;604;L;1,505
Royal Holloway University of London;2017;235;42.6;United Kingdom;Egham;Europe;Public;Very High;13.0;3.705;M;831
Al-Farabi Kazakh National University;2017;236;42.5;Kazakhstan;Almaty;Asia;Public;High;6.0;3,054;L;4,047
Loughborough University;2017;237;42.3;United Kingdom;Loughborough;Europe;Public;Very High;12.0;4,540;L;1,445
Tufts University;2017;238;42.2;United States;Medford;North America;Private;Very High;8.0;1,798;M;1,459
Complutense University of Madrid;2017;239;42.1;Spain;Madrid;Europe;Public;Very High;13.0;7,295;XL;4,778
University of Leicester;2017;239;42.1;United Kingdom;Leicester;Europe;Public;Very High;10.0;4,919;L;1,518
National Cheng Kung University (NCKU);2017;241;42.0;Taiwan;Tainan City;Asia;Public;Very High;10.0;2,656;L;2,079
Université Paris-Saclay;2017;241;42.0;France;;Europe;Public;Very High;5.0;7,649;XL;8,010
National Taiwan University of Science and Technology (Taiwan Tech);2017;243;41.7;Taiwan;Taipei City;Asia;Public;Very High;9.0;1,537;M;1,005
 University of Dundee;2017;244;41.6;United Kingdom;Dundee;Europe;Public;High;14.0;3,025;L;953
The University of Newcastle, Australia (UON);2017;245;41.3;Australia;Callaghan;Oceania;Public;Very High;11.0;1,747;L;1,135
University of Navarra;2017;245;41.3;Spain;Pamplona;Europe;Private;Very High;9.0;2,978;M;1,175
Macquarie University;2017;247;41.2;Australia;Sydney;Oceania;Public;Very High;14.0;8,621;L;1,766
Technical University of Darmstadt;2017;247;41.2;Germany;Darmstadt;Europe;Public;Very High;20.0;3,979;L;804
Indian Institute of Technology Madras (IITM);2017;249;41.0;India;Chennai;Asia;Public;Very High;11.0;94;M;884
National University of Ireland Galway;2017;249;41.0;Ireland;Galway;Europe;Public;High;8.0;3,208;L;1,835
University of Massachusetts Amherst;2017;251;40.8;United States;Amherst;North America;Public;Very High;14.0;3,696;L;1,852
Chulalongkorn University;2017;252;40.6;Thailand;Bangkok;Asia;Public;High;10.0;985;XL;3,354
RMIT University;2017;252;40.6;Australia;Melbourne;Oceania;Public;Very High;18.0;11,743;XL;1,859
SOAS University of London ;2017;252;40.6;United Kingdom;London;Europe;Public;Very High;11.0;2.398;S;300
University of East Anglia (UEA);2017;252;40.6;United Kingdom;Norwich;Europe;Public;Very High;13.0;3,541;L;1,206
University of Miami;2017;252;40.6;United States;Miami;North America;Private;Very High;6.0;2,646;L;2,565
Beijing Normal University ;2017;257;40.4;China (Mainland);Beijing;Asia;Public;Very High;11.0;3,288;L;2,098
Saint Petersburg State University;2017;258;40.1;Russia;Saint Petersburg;Europe;Public;Very High;8.0;4,982;L;3,054
Norwegian University of Science And Technology;2017;259;39.8;Norway;Trondheim;Europe;Public;Very High;12.0;2.950;XL;3.132
Université de Strasbourg;2017;260;39.6;France;Strasbourg;Europe;Public;Very High;21.0;9.111;XL;2.544
University of Surrey;2017;261;39.5;United Kingdom;Guildford;Europe;Public;Very High;13.0;5,556;L;1,221
Université Diderot  Paris 7;2017;262;34.7;France;Paris;Europe;Public;Very High;17.0;11,387;XL;3,755
Universität Stuttgart;2017;263;39.3;Germany;Stuttgart;Europe;Public;Very High;17.0;3.028;L;932
Goethe-University Frankfurt am Main;2017;264;39.2;Germany;Frankfurt;Europe;Public;Very High;12.0;6.749;XL;3.623
University of Gothenburg;2017;264;39.2;Sweden;Gothenburg;Europe;Public;Very High;8.0;5,652;L;2,680
Kyung Hee University;2017;264;39.2;South Korea;;Asia;Private;Very High;7.0;4,715;L;3,435
ENS Paris-Saclay;2017;264;34.6;France;Cachan;Europe;Public;Very High;6.0;298;S;289
Ecole des Ponts ParisTech;2017;268;39.1;France;Paris;Europe;Public;Very High;6.0;735;S;338
Universidad Nacional de Colombia;2017;269;38.9;Colombia;Bogotá;Latin America;Public;High;14.0;335;XL;3,055
Universiti Putra Malaysia (UPM);2017;270;38.8;Malaysia;Seri Kembangan;Asia;Public;Very High;8.0;5,040;L;2,174
University of California, Riverside;2017;271;38.7;United States;Riverside;North America;Public;Very High;17.0;2.034;L;1.497
Universidad de los Andes;2017;272;38.5;Colombia;Bogotá;Latin America;Private;High;13.0;151;L;1,223
Friedrich-Alexander-Universität Erlangen-Nürnberg;2017;272;38.5;Germany;Erlangen;Europe;Public;Very High;32.0;4,943;XL;1,107
University of Strathclyde;2017;272;38.5;United Kingdom;Glasgow;Europe;Public;Very High;13.0;5,397;L;1,532
Wuhan University;2017;275;38.2;China (Mainland);Wuhan;Asia;Public;Very High;14.0;3,682;XL;3,828
Queensland University of Technology (QUT);2017;276;38.1;Australia;Brisbane;Oceania;Public;Very High;17.0;6,403;XL;2,028
North Carolina State University;2017;277;38.0;United States;Raleigh;North America;Public;Very High;15.0;3,156;L;1,944
Harbin Institute of Technology;2017;278;37.9;China (Mainland);Harbin;Asia;Public;Very High;9.0;2,102;XL;3,215
Hong Kong Baptist University;2017;278;37.9;Hong Kong SAR;Hong Kong;Asia;Public;Very High;9.0;4,704;M;980
